Provincia,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Latitud,Longitud
BUENOS AIRES,Colonia San Miguel,902,NO,NO,NO,NO,NO,NO,NO,NO,NO,-36.9495659791886,-60.1108954083182
BUENOS AIRES,Espigas,492,NO,NO,NO,NO,NO,NO,SI,NO,NO,-36.4122732396335,-60.6730694647
BUENOS AIRES,Hinojo,3841,SI,NO,NO,NO,SI,SI,SI,SI,SI,-36.8805120719062,-60.1771940245473
BUENOS AIRES,Olavarría,89721,SI,SI,SI,SI,SI,NO,SI,SI,SI,-36.8920935788859,-60.3180046559577
BUENOS AIRES,Recalde,385,NO,NO,NO,NO,NO,NO,SI,NO,NO,-36.6515016172821,-61.0845040269815
BUENOS AIRES,Santa Luisa,40,NO,NO,NO,NO,NO,NO,NO,SI,NO,-37.1256790161133,-60.4158706665039
BUENOS AIRES,Sierra Chica,4812,NO,SI,NO,NO,NO,SI,NO,SI,SI,-36.843238222524,-60.2234271381196
BUENOS AIRES,Sierras Bayas,3849,SI,NO,SI,NO,NO,SI,SI,NO,NO,-36.9225238148372,-60.2157925414657
BUENOS AIRES,Villa Martelli,25616,SI,SI,NO,SI,NO,SI,SI,SI,SI,-34.5525979527695,-58.5091432644227
BUENOS AIRES,Mar Azul,1797,NO,NO,NO,NO,NO,NO,SI,SI,SI,-37.3366731576801,-57.032501468863
BUENOS AIRES,Mar De Las Pampas,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,-37.3281312355181,-57.0399070097774
BUENOS AIRES,Villa Gesell,29593,SI,NO,NO,SI,NO,NO,SI,SI,SI,-37.2464704698501,-56.9707267624406
BUENOS AIRES,Argerich,80,NO,NO,NO,NO,NO,SI,SI,NO,NO,-38.7686560837266,-62.6025276771033
BUENOS AIRES,Colonia San Adolfo,109,NO,NO,NO,NO,NO,NO,NO,NO,NO,-39.3983952518232,-62.5711721088672
BUENOS AIRES,Country Los Medanos,61,NO,NO,NO,NO,NO,SI,NO,NO,NO,-38.8468445915571,-62.738741885831
BUENOS AIRES,Hilario Ascasubi,3427,NO,NO,NO,NO,NO,NO,SI,SI,SI,-39.3758602632663,-62.6477900877351
BUENOS AIRES,Juan Cousté (Est. Algarrobo),1993,NO,NO,SI,NO,NO,SI,SI,SI,SI,-38.8942604188728,-63.1361581918897
BUENOS AIRES,Mayor Buratovich,5372,SI,NO,NO,SI,NO,NO,SI,SI,SI,-39.2590946793617,-62.6157889589915
BUENOS AIRES,Médanos,5245,SI,SI,SI,SI,NO,SI,SI,SI,SI,-38.8293145512181,-62.6943321574343
CABA,CONSTITUCION,44107,SI,SI,SI,SI,SI,SI,SI,SI,SI,-34.6250478642294,-58.384387226424
CORDOBA,Freyre,6620,SI,SI,NO,NO,NO,SI,SI,SI,SI,-31.1647319320813,-62.0976333908888
CORDOBA,La Francia,3720,SI,NO,NO,SI,NO,SI,SI,SI,SI,-31.406437919327,-62.6343581010891
CORDOBA,La Paquita,947,NO,NO,NO,NO,NO,NO,NO,NO,SI,-30.9070545771133,-62.2154361817056
CORDOBA,La Tordilla,1257,SI,NO,NO,NO,NO,SI,SI,SI,SI,-31.2352452196552,-63.0599042713799
CORDOBA,Las Varas,1320,NO,NO,NO,SI,NO,NO,SI,SI,SI,-31.801292158779,-62.6171047243489
JUJUY,Jama,67,NO,NO,NO,SI,NO,NO,NO,NO,NO,-23.2599291955531,-67.0236887810529
CABA,PARQUE AVELLANEDA,53229,SI,SI,SI,SI,SI,SI,SI,SI,SI,-34.64864128675,-58.47645640345
CORDOBA,Las Varillas,16238,SI,SI,NO,SI,SI,NO,SI,SI,SI,-31.8731135581313,-62.7187948274612
CORDOBA,Marull,1791,NO,NO,NO,SI,SI,SI,SI,SI,SI,-30.9945226321227,-62.8258401081139
CORDOBA,Miramar,2023,NO,SI,NO,NO,NO,SI,SI,SI,SI,-30.9145163516027,-62.6749183796469
CORDOBA,Morteros,16890,SI,NO,NO,SI,NO,NO,SI,SI,SI,-30.7107058083835,-62.0044437379159
BUENOS AIRES,Carlos María Naón,497,NO,NO,SI,NO,NO,NO,SI,SI,SI,-35.239499381663,-60.8251358750153
BUENOS AIRES,Dudignac,2670,NO,NO,SI,NO,NO,SI,SI,SI,SI,-35.6511928511123,-60.7098962799094
BUENOS AIRES,La Aurora (Est. La Niña),531,NO,NO,NO,NO,NO,NO,NO,NO,SI,-35.4079467934432,-61.2105668204871
BUENOS AIRES,Manuel B. Gonnet (Est. French),748,SI,NO,NO,SI,NO,NO,SI,SI,SI,-35.5201414507378,-60.9989487976537
BUENOS AIRES,Marcelino Ugarte (Est. Dennehy),76,NO,NO,NO,NO,NO,NO,NO,NO,SI,-35.3462662593318,-60.7453446826815
BUENOS AIRES,Morea,347,NO,NO,NO,NO,NO,NO,NO,NO,NO,-35.5563880098445,-60.5605940553161
BUENOS AIRES,Norumbega,57,NO,NO,NO,NO,NO,NO,NO,NO,NO,-35.5357392707567,-60.7928143632315
BUENOS AIRES,Patricios,745,SI,NO,NO,NO,NO,NO,SI,SI,NO,-35.4395526972374,-60.7174384712323
BUENOS AIRES,Villa General Fournier (Est. 9 de Julio Sud),566,NO,NO,NO,SI,NO,SI,SI,SI,SI,-35.4989239490928,-60.8647207106461
BUENOS AIRES,Carhué,9660,SI,NO,NO,SI,NO,SI,SI,SI,SI,-37.1774801030509,-62.7578962604015
BUENOS AIRES,Colonia San Miguel Arcángel,563,SI,NO,NO,NO,NO,NO,SI,NO,SI,-37.4486186469627,-63.117609405389
BUENOS AIRES,Delfín Huergo,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,-37.3173292631958,-63.2331690622102
BUENOS AIRES,Espartillar,21,NO,NO,NO,NO,NO,NO,NO,NO,SI,-37.3563345638716,-62.4387637810214
BUENOS AIRES,Esteban Agustín Gascón,104,NO,NO,NO,NO,NO,NO,SI,NO,NO,-37.4544378016288,-63.2565950033782
BUENOS AIRES,La Pala,27,NO,NO,NO,NO,NO,NO,NO,NO,NO,-36.6613400852941,-63.3661281675236
BUENOS AIRES,Maza,1748,NO,NO,NO,SI,SI,SI,SI,SI,SI,-36.7999468137731,-63.3385151506224
BUENOS AIRES,El Tropezon,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,-34.9564048574127,-58.2787454299742
BUENOS AIRES,Estanislao Severo Zeballos,26005,SI,SI,SI,SI,NO,NO,SI,SI,SI,-34.812285887223,-58.2426532633495
BUENOS AIRES,Florencio Varela,149676,SI,SI,SI,SI,SI,SI,SI,SI,SI,-34.7960544308506,-58.2748588953342
BUENOS AIRES,Gobernador Julio A. Costa,61135,SI,SI,SI,SI,NO,NO,SI,SI,SI,-34.8152397261388,-58.3082334245906
BUENOS AIRES,Ingeniero Juan Allan,32994,SI,SI,NO,NO,NO,NO,SI,SI,SI,-34.8648075260046,-58.2110437322304
BUENOS AIRES,La Capilla,0,SI,NO,NO,SI,NO,NO,SI,SI,SI,-34.9437330109546,-58.2632550914349
BUENOS AIRES,Villa Brown,7484,NO,SI,NO,SI,NO,NO,NO,SI,SI,-34.8790424725562,-58.2898092496787
BUENOS AIRES,Villa San Luis,12693,NO,SI,NO,NO,NO,NO,NO,SI,SI,-34.8627929258513,-58.2553232274346
BUENOS AIRES,Villa Santa Rosa,27308,SI,SI,SI,NO,NO,NO,SI,SI,SI,-34.8380276482598,-58.2888899071764
JUJUY,Mina Providencia,30,NO,NO,NO,SI,NO,NO,NO,NO,NO,-23.2748878331652,-66.8343534268599
JUJUY,Olacapato,45,NO,NO,NO,SI,NO,SI,NO,NO,NO,-24.1152805507803,-66.7186508694002
BUENOS AIRES,Batán,10152,SI,NO,NO,SI,SI,SI,SI,SI,SI,-38.0086211557001,-57.7085500402678
BUENOS AIRES,Camet,0,SI,NO,NO,SI,NO,SI,SI,SI,SI,-37.9130763908367,-57.552463851894
BUENOS AIRES,Chapadmalal,4112,SI,NO,SI,NO,SI,SI,SI,SI,SI,-38.1757779275595,-57.6513390003209
BUENOS AIRES,El Marquesado,196,NO,NO,NO,NO,NO,SI,SI,NO,NO,-38.2369312519788,-57.763418077922
BUENOS AIRES,Estacion Camet,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,-37.888665236683,-57.6000121501773
BUENOS AIRES,Estación Chapadmalal,1633,SI,NO,NO,SI,NO,SI,NO,SI,SI,-38.036727731373,-57.7129897398616
BUENOS AIRES,Mar del Plata,560913,SI,SI,SI,SI,SI,SI,SI,SI,SI,-38.0120914785136,-57.6064947153173
BUENOS AIRES,Punta Mogotes,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,-38.0833774287933,-57.5859350936487
SAN LUIS,Planta De Sandia,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,-32.76799349,-65.54885162
BUENOS AIRES,Villa Alfredo Fortabat,3451,SI,NO,NO,NO,NO,SI,SI,SI,SI,-36.9802714637124,-60.2790828437139
BUENOS AIRES,Villa Arrieta,0,NO,NO,NO,NO,NO,NO,NO,SI,SI,-36.9436605372421,-60.1578271825148
BUENOS AIRES,Villa La Serranía,167,NO,NO,NO,NO,NO,NO,NO,NO,SI,-36.9903632120511,-60.3108081181748
BUENOS AIRES,Bahía San Blas,611,NO,NO,SI,NO,NO,SI,SI,SI,SI,-40.5602246137406,-62.2380643077459
BUENOS AIRES,Cardenal Cagliero,89,NO,NO,NO,NO,NO,NO,NO,NO,SI,-40.6522000086693,-62.7575972084464
BUENOS AIRES,Carmen de Patagones,20533,SI,NO,SI,SI,SI,SI,SI,SI,SI,-40.797298324401,-62.984754269904
BUENOS AIRES,José B. Casas,40,NO,NO,NO,NO,NO,SI,NO,NO,NO,-40.4363643935514,-62.5449343513868
BUENOS AIRES,Juan A. Pradere,521,NO,SI,NO,NO,NO,SI,NO,NO,SI,-39.5993801239416,-62.6510470779021
BUENOS AIRES,Stroeder,1998,NO,NO,NO,SI,NO,SI,SI,SI,SI,-40.1854869993736,-62.6205163469862
BUENOS AIRES,Villalonga,4517,SI,NO,SI,SI,NO,SI,SI,SI,SI,-39.9151387867695,-62.6188702678852
